ID_Job_Ref;ID_Job_Title;salary_usd;ID_salary_currency;ID_experience_level;ID_employment_type;company_location;ID_company_size;employee_residence;miran;required_skills;ID_education_required;years_experience;ID_industry;posting_date;application_deadline;job_description_length;benefits_score;ID_company_name
AI00055;19;67607;3;2;4;Israel;3;Israel;2;Python, Tableau, TensorFlow, AWS;3;4;12;5/8/2024;26/8/2024;1714;8.6;4
AI00056;1;88470;3;2;2;Canada;1;Canada;1;Azure, Kubernetes, TensorFlow, Statistics, Spark;1;3;1;29/7/2024;27/9/2024;1528;9.1;1
AI00057;7;79863;3;1;4;India;1;India;3;Python, Docker, GCP, Scala;1;4;13;28/9/2024;26/10/2024;1325;5.6;2
AI00058;14;60299;1;2;3;Israel;1;Israel;3;Git, Linux, Python, TensorFlow, Mathematics;4;0;14;22/3/2025;1/5/2025;1872;6.6;16
AI00059;14;85645;2;3;2;Germany;2;Germany;1;PyTorch, Computer Vision, R;1;4;2;9/2/2024;6/3/2024;793;7.9;13
AI00060;5;110222;3;1;3;United Kingdom;3;France;1;R, Spark, AWS;1;8;13;20/3/2024;5/5/2024;1945;9;12
AI00061;11;49365;3;3;4;China;2;China;1;Tableau, NLP, Azure, Statistics, PyTorch;1;1;13;22/6/2024;14/8/2024;1907;10;15
AI00062;11;162296;3;2;4;Norway;3;Norway;2;TensorFlow, Azure, Computer Vision, Data Visualization;2;6;3;5/6/2024;1/7/2024;1714;6.2;5
AI00063;2;102382;3;2;4;Switzerland;2;Switzerland;1;TensorFlow, Scala, Docker, Statistics;4;3;11;23/3/2024;3/6/2024;2199;5.8;11
AI00064;5;99972;3;1;1;Australia;2;Canada;2;Java, R, Deep Learning, NLP, Azure;4;4;9;20/2/2024;15/3/2024;799;6.5;11
AI00065;10;64129;3;3;3;South Korea;1;South Korea;1;Java, Git, Deep Learning;2;0;3;15/12/2024;11/2/2025;909;7.1;1
AI00066;6;87938;3;2;2;Ireland;3;Ireland;3;Mathematics, Spark, Python, AWS;4;8;15;15/12/2024;12/2/2025;508;8.1;9
AI00067;7;71405;3;4;4;Israel;1;Israel;1;SQL, Java, MLOps, Linux, PyTorch;1;4;13;1/9/2024;29/10/2024;1153;9.5;14
AI00068;14;316182;1;1;4;Denmark;2;Canada;1;Python, Scala, Statistics, Git;1;12;6;9/2/2025;23/2/2025;2452;7;6
AI00069;15;72459;1;2;3;Germany;2;Germany;3;Hadoop, Python, Kubernetes, Azure;2;0;11;30/8/2024;15/9/2024;583;9.6;12
AI00070;18;78338;3;2;2;France;1;France;3;MLOps, Kubernetes, Git, Python;1;3;5;31/10/2024;15/12/2024;548;8.7;3
AI00071;17;51907;1;3;2;Israel;2;Singapore;3;AWS, Kubernetes, Azure;2;4;12;14/2/2024;2/4/2024;912;8.2;6
AI00072;7;122831;3;2;2;France;3;France;3;PyTorch, Kubernetes, Git, SQL;3;7;12;31/5/2024;19/6/2024;761;8.4;11
AI00073;15;124820;2;3;4;Norway;3;Norway;2;NLP, Azure, Statistics, Spark, Mathematics;1;3;15;2/8/2024;1/10/2024;2077;9.9;9
AI00074;7;134200;3;1;4;United Kingdom;3;United Kingdom;2;Linux, R, Tableau;4;9;4;29/11/2024;9/1/2025;2396;7.8;8
AI00075;10;51920;3;1;2;Sweden;3;Finland;3;Scala, R, Tableau, Data Visualization;4;0;10;8/4/2025;13/5/2025;1778;7.9;14
AI00076;10;56427;3;4;3;Singapore;2;Singapore;3;Mathematics, Kubernetes, Spark;3;0;10;16/11/2024;25/1/2025;1366;5.2;7
AI00077;3;213783;3;2;2;Canada;3;Canada;3;Kubernetes, Spark, Statistics, Scala;2;16;13;19/9/2024;6/10/2024;2383;9.2;4
AI00078;16;59728;3;3;1;Israel;2;Israel;2;MLOps, SQL, Statistics;1;2;11;10/6/2024;13/8/2024;1350;7.5;16
AI00079;8;119432;3;4;1;India;1;India;1;Scala, MLOps, NLP;4;6;4;20/4/2024;8/6/2024;1008;6.3;12
AI00080;4;284486;1;4;1;United States;2;United States;1;PyTorch, Linux, SQL;3;12;9;13/2/2025;10/3/2025;2231;7;16
AI00081;9;157597;3;4;1;France;1;France;2;Git, Kubernetes, TensorFlow, R, Java;2;17;6;31/8/2024;15/9/2024;639;8.4;6
AI00082;16;196942;3;4;1;Australia;1;Australia;3;R, Tableau, SQL, MLOps, Docker;3;19;10;1/4/2024;16/4/2024;826;7.5;16
AI00083;15;207548;3;2;2;Canada;2;Canada;1;NLP, Azure, Spark, Data Visualization;4;10;1;5/2/2024;11/3/2024;2292;6.7;16
AI00084;17;68838;3;4;2;Sweden;3;Sweden;2;Java, SQL, Spark, Tableau, Azure;4;3;8;20/6/2024;12/8/2024;804;7.4;11
AI00085;16;125666;3;1;3;Finland;1;Finland;3;Docker, Python, Git, Kubernetes, Java;4;13;13;19/6/2024;22/8/2024;757;8.4;10
AI00086;17;73174;3;1;1;Denmark;2;Denmark;2;Git, MLOps, Hadoop, Python, Spark;1;0;9;14/7/2024;8/9/2024;678;6.4;15
AI00087;7;33314;3;1;3;Israel;3;India;2;SQL, Kubernetes, Docker;2;0;14;16/4/2025;15/6/2025;1207;8.3;2
AI00088;6;69914;1;4;2;United States;3;United States;3;R, NLP, SQL, GCP;1;0;1;15/2/2025;15/4/2025;1517;7;9
AI00089;18;152118;1;1;1;France;2;France;2;Spark, SQL, Python, Mathematics, Linux;3;11;12;20/5/2024;14/7/2024;1294;6.9;13
AI00090;5;78014;3;1;4;France;1;France;2;PyTorch, Hadoop, Scala, Computer Vision;4;0;1;19/11/2024;7/12/2024;841;6.8;3
AI00091;19;48466;1;3;1;Canada;3;Canada;3;Hadoop, Spark, Kubernetes, Python;2;0;11;10/3/2025;14/5/2025;1146;5.7;12
AI00092;9;97997;3;3;2;France;3;France;2;Hadoop, Python, TensorFlow, R, Statistics;4;8;13;19/6/2024;16/7/2024;2419;6;13
AI00093;18;128341;3;2;2;Singapore;3;Singapore;1;Computer Vision, PyTorch, GCP, Linux;2;9;12;26/4/2025;15/6/2025;2457;6.9;8
AI00094;4;111528;3;4;4;United States;1;United States;1;Java, Hadoop, Mathematics;4;3;3;1/3/2024;8/5/2024;1299;9.5;6
AI00095;15;138945;3;3;3;Canada;3;Canada;2;Linux, R, NLP, PyTorch, Git;3;19;9;10/7/2024;15/9/2024;1559;8.9;13
AI00096;17;98688;1;3;3;Israel;2;Israel;2;Statistics, Python, TensorFlow, PyTorch, Git;2;8;11;10/4/2024;3/5/2024;598;8.6;11
AI00097;9;109029;3;2;3;France;3;France;1;Kubernetes, Scala, Java;2;6;12;5/4/2025;13/6/2025;2049;6.1;15
AI00098;17;84797;3;4;1;Canada;2;Canada;1;Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics;3;4;15;4/12/2024;3/1/2025;1909;6.2;1
AI00099;15;290199;3;3;1;Switzerland;1;Denmark;2;Python, AWS, Kubernetes, Deep Learning;3;12;14;12/1/2025;7/3/2025;1137;5.6;6
AI00100;4;195691;3;3;3;United States;1;United States;1;AWS, Kubernetes, Docker, Mathematics, MLOps;4;8;4;20/4/2024;22/6/2024;916;8.7;15
AI00101;3;193448;3;4;4;Norway;1;Norway;3;Scala, Git, Java;1;9;7;2/1/2025;11/3/2025;579;6.6;3
AI00102;3;138466;1;2;1;Israel;1;Israel;3;Azure, AWS, PyTorch, GCP, Hadoop;1;16;14;25/1/2024;4/4/2024;1690;9.5;9
AI00103;9;91577;3;2;3;Netherlands;2;Netherlands;3;Spark, Mathematics, PyTorch, SQL, TensorFlow;2;3;12;27/1/2024;28/2/2024;859;6.5;5
AI00104;8;92875;2;4;3;Sweden;3;Sweden;1;SQL, Python, Deep Learning;4;3;5;21/7/2024;27/9/2024;701;5.3;2
AI00105;10;213287;3;2;3;United Kingdom;3;United Kingdom;3;TensorFlow, GCP, PyTorch, Spark;3;13;4;3/3/2025;3/4/2025;1102;6.3;16
AI00106;17;62171;3;4;2;Japan;3;Japan;1;Git, SQL, PyTorch, Mathematics;2;2;1;15/9/2024;7/11/2024;2162;8.1;13
AI00107;4;152658;3;2;3;South Korea;1;United Kingdom;2;Data Visualization, PyTorch, Spark, TensorFlow;1;16;15;28/1/2024;17/3/2024;548;9;2
AI00108;16;95085;1;2;2;Norway;2;Norway;3;TensorFlow, SQL, NLP, Computer Vision, Git;1;2;7;20/3/2024;20/4/2024;2298;6.5;16
AI00109;12;86750;3;2;4;France;3;France;3;Java, R, Git, Mathematics, Spark;4;2;14;13/12/2024;24/2/2025;1397;7.1;13
AI00110;6;64261;3;4;4;Israel;2;Israel;1;PyTorch, Docker, GCP;3;2;3;4/9/2024;10/10/2024;2385;8.8;12
AI00111;15;205357;1;4;1;United States;3;United States;3;Computer Vision, Hadoop, Git, AWS;2;18;7;8/3/2024;13/5/2024;1646;6.6;3
AI00112;1;165676;1;3;1;France;3;France;2;TensorFlow, Linux, SQL, Hadoop;1;18;8;13/5/2024;25/6/2024;926;7.8;9
AI00113;8;114658;1;3;2;France;2;France;3;SQL, Scala, Python;2;9;12;18/3/2024;20/4/2024;1560;8.2;10
AI00114;11;143149;1;3;2;France;1;France;2;NLP, Computer Vision, Mathematics, Statistics, R;3;6;11;13/3/2024;10/5/2024;1169;9.1;4
AI00115;15;116276;3;1;2;Germany;3;Germany;2;Azure, R, Linux, MLOps;2;7;15;14/8/2024;6/9/2024;608;7.9;7
AI00116;17;61055;3;1;3;United States;2;Ireland;3;R, AWS, Computer Vision, Statistics, Docker;2;0;6;4/6/2024;16/7/2024;1891;6.9;15
AI00117;16;50303;3;3;2;Austria;1;Austria;3;Kubernetes, SQL, Azure, Deep Learning, Linux;3;0;15;11/8/2024;2/10/2024;2015;7;12
AI00118;9;65570;3;4;2;Ireland;3;Ireland;2;PyTorch, SQL, MLOps, AWS, TensorFlow;1;7;4;22/10/2024;6/11/2024;635;9.9;3
AI00119;5;231078;3;3;3;Singapore;2;Singapore;2;MLOps, R, Git, Mathematics;2;17;1;15/4/2024;3/6/2024;784;7.6;14
AI00120;3;106633;3;3;2;Australia;2;South Korea;3;Linux, Scala, SQL, Git;2;9;2;18/5/2024;25/6/2024;1243;5.5;15
AI00121;6;121180;3;1;4;Austria;1;Austria;1;Git, Deep Learning, Kubernetes, Linux, GCP;3;9;15;6/1/2025;1/2/2025;611;7;7
AI00122;18;64531;3;2;1;China;1;Netherlands;2;Git, SQL, Scala, Python, Computer Vision;4;0;1;26/3/2025;13/4/2025;1645;7;8
AI00123;14;125654;3;4;3;Singapore;1;Singapore;2;Python, Tableau, Java;4;4;11;20/6/2024;25/8/2024;1212;6.8;12
AI00124;15;182275;3;2;2;Austria;1;Austria;1;Docker, AWS, Linux, Git, Azure;4;14;14;19/4/2025;14/5/2025;2427;9;10
AI00125;15;117708;3;4;3;Denmark;1;Denmark;1;PyTorch, Scala, Linux, Tableau, Deep Learning;4;4;5;24/2/2024;17/3/2024;1912;9.3;8
AI00126;10;143246;3;3;3;South Korea;3;South Korea;1;Docker, SQL, Kubernetes, Git, Statistics;3;11;4;25/12/2024;24/1/2025;1426;8.4;11
AI00127;3;203198;3;1;1;Denmark;1;Denmark;2;Statistics, R, Python, TensorFlow;3;5;14;4/12/2024;11/1/2025;1596;7.6;12
AI00128;19;69487;3;4;2;Switzerland;3;Switzerland;1;Kubernetes, Azure, Spark, TensorFlow, Linux;3;0;11;4/11/2024;2/12/2024;1825;7.7;15
AI00129;3;95673;3;1;2;Ireland;3;Ireland;1;GCP, R, Azure, Deep Learning, PyTorch;1;17;4;24/8/2024;15/9/2024;1467;8.1;2
AI00130;5;59405;1;3;4;Austria;1;Austria;3;Spark, Python, Deep Learning, Linux, Java;2;1;11;18/3/2025;12/4/2025;984;6;11
AI00131;6;131756;3;1;4;Netherlands;2;Finland;1;AWS, R, Spark;4;5;2;3/8/2024;15/10/2024;2308;7.9;13
AI00132;5;42835;3;1;3;South Korea;1;France;1;Python, TensorFlow, PyTorch;2;0;4;2/3/2025;30/3/2025;539;9;3
AI00133;7;61893;1;4;1;Canada;2;Canada;2;Statistics, Python, SQL;1;1;2;28/3/2024;1/5/2024;1419;5.2;6
AI00134;16;141791;2;4;4;France;2;France;1;Hadoop, Azure, Python, R;4;13;3;3/2/2025;23/2/2025;2136;5.8;5
AI00135;3;258637;3;2;3;United Kingdom;2;United Kingdom;2;Computer Vision, GCP, Azure, SQL, Python;3;11;11;16/1/2025;15/2/2025;813;9.1;15
AI00136;17;49485;3;3;4;Finland;3;Finland;1;Hadoop, Java, Data Visualization;1;2;9;9/8/2024;16/9/2024;909;7.8;11
AI00137;20;172916;3;4;3;Norway;3;India;3;Computer Vision, SQL, PyTorch, Java;2;8;8;29/12/2024;15/1/2025;1630;7.6;9
AI00138;14;324557;1;2;1;Denmark;1;Denmark;3;Hadoop, Python, Git, TensorFlow;4;11;4;6/11/2024;24/11/2024;1209;7.3;9
AI00139;2;73894;3;3;3;France;2;France;2;PyTorch, Statistics, MLOps, Kubernetes, Computer Vision;2;4;2;8/8/2024;12/9/2024;1070;5.2;3
AI00140;18;122598;3;2;2;Sweden;3;India;2;Linux, AWS, Computer Vision, Deep Learning;1;9;15;5/1/2025;13/2/2025;1181;5.2;11
AI00141;11;94478;3;1;4;Denmark;3;Denmark;3;PyTorch, TensorFlow, Hadoop, Python;4;4;13;24/5/2024;25/6/2024;506;8.4;13
AI00142;7;53088;3;2;3;Austria;2;Austria;2;GCP, Kubernetes, Computer Vision, Deep Learning, SQL;4;1;1;12/4/2025;13/6/2025;2090;9;2
AI00143;15;116012;3;1;1;Denmark;2;Australia;1;SQL, MLOps, Python;3;3;2;23/9/2024;30/10/2024;657;7.9;15
AI00144;12;35593;3;4;3;China;3;China;1;Python, Hadoop, Deep Learning;2;0;2;9/3/2024;7/4/2024;1812;6.3;8
AI00145;3;149053;3;2;3;Austria;3;Austria;1;GCP, Linux, R, Hadoop;3;17;3;17/11/2024;26/12/2024;652;5.5;16
AI00146;18;88230;3;4;2;Austria;1;Austria;1;TensorFlow, Git, Azure, Python;1;4;3;22/5/2024;27/7/2024;1984;7.6;16
AI00147;4;224919;1;4;4;Australia;2;Switzerland;3;Kubernetes, Deep Learning, PyTorch;1;19;9;2/12/2024;24/1/2025;911;5.7;8
AI00148;15;220439;3;1;4;Netherlands;3;Netherlands;3;SQL, Data Visualization, GCP, Deep Learning, MLOps;1;12;5;30/3/2024;15/4/2024;1795;9.9;14
AI00149;17;48861;3;3;2;Finland;3;Finland;3;GCP, Python, Computer Vision, Git;2;0;5;4/7/2024;11/8/2024;1031;8.1;12
AI00150;6;115841;3;2;2;United States;3;United States;1;TensorFlow, Kubernetes, Deep Learning;4;7;2;25/10/2024;11/12/2024;1446;7.2;4
AI00151;17;57266;3;2;1;Ireland;2;Ireland;1;Computer Vision, PyTorch, Linux, TensorFlow;2;3;7;11/8/2024;26/8/2024;1075;7.3;11
AI00152;12;66384;3;4;4;Australia;3;Israel;1;Git, Tableau, Hadoop, Computer Vision;1;2;7;21/4/2024;24/5/2024;1421;9.1;7
AI00153;9;184637;1;2;1;Sweden;3;Sweden;3;R, SQL, Data Visualization;2;11;11;23/5/2024;9/7/2024;2292;5.5;15
AI00154;4;92445;3;1;2;Netherlands;2;Finland;2;Linux, Python, Scala, Docker;2;4;4;22/10/2024;24/12/2024;826;9.2;3
AI00155;15;57388;3;2;4;Canada;1;Canada;1;Python, GCP, TensorFlow;1;1;7;12/1/2024;12/2/2024;1684;8.3;9
AI00156;13;53374;3;3;1;China;2;China;1;Docker, Deep Learning, R;4;2;2;22/6/2024;31/7/2024;2224;9.5;7
AI00157;4;95716;3;2;2;Finland;3;Finland;2;Git, Spark, Azure, Statistics;4;6;14;19/3/2024;5/4/2024;1811;7.4;4
AI00158;17;157091;3;3;2;Norway;1;Norway;1;Python, Java, Kubernetes, SQL, NLP;4;2;8;4/3/2025;24/3/2025;1002;7.7;9
AI00159;16;204144;1;4;1;Norway;1;Norway;3;Hadoop, Mathematics, Linux;4;8;7;12/12/2024;3/1/2025;1663;9.5;9
AI00160;5;190314;3;4;2;Netherlands;2;Netherlands;3;GCP, Computer Vision, Scala, AWS, Linux;4;12;2;23/5/2024;22/7/2024;521;9.9;4
AI00161;18;198403;3;3;1;Denmark;2;Israel;2;Data Visualization, SQL, Scala;1;15;9;14/3/2024;21/4/2024;944;9.1;11
AI00162;19;153040;3;2;2;Canada;1;Canada;2;SQL, Tableau, Statistics, GCP;2;7;4;25/6/2024;23/8/2024;1112;8.2;1
AI00163;5;51898;1;3;2;Israel;3;Israel;1;Deep Learning, Python, NLP;1;2;3;5/10/2024;26/11/2024;721;8.9;10
AI00164;1;115191;3;3;4;Germany;3;Netherlands;1;R, AWS, Git, Tableau;1;7;11;10/7/2024;4/9/2024;2362;5.7;4
AI00165;16;170139;3;1;1;United States;1;Denmark;2;Python, Spark, Hadoop;2;5;6;30/1/2025;27/3/2025;578;9.6;15
AI00166;16;63860;3;2;1;Canada;1;Canada;3;Linux, TensorFlow, GCP, Docker, Azure;3;0;15;2/8/2024;28/9/2024;2424;9.5;7
AI00167;17;125152;3;1;1;Norway;2;Norway;3;TensorFlow, Docker, AWS, Spark;4;3;5;11/8/2024;31/8/2024;2348;6.6;4
AI00168;5;61572;1;2;1;South Korea;1;South Korea;2;Linux, Azure, Kubernetes;2;0;14;19/7/2024;8/9/2024;2485;7.1;8
AI00169;13;101054;3;4;1;Germany;2;Israel;2;Statistics, Tableau, Java, Data Visualization, NLP;3;3;2;6/1/2024;26/2/2024;986;8.5;4
AI00170;10;145355;3;4;3;Canada;3;Canada;3;Spark, Linux, AWS, Deep Learning;3;13;6;25/8/2024;12/9/2024;685;9.6;12
AI00171;12;183484;3;2;1;Singapore;3;Singapore;3;Scala, Data Visualization, TensorFlow, Mathematics, Java;3;19;11;20/11/2024;1/1/2025;834;7.7;15
AI00172;3;111997;2;4;4;Singapore;1;Singapore;3;PyTorch, Scala, Hadoop, Docker, Computer Vision;4;2;9;15/3/2025;14/4/2025;1535;6.6;11
AI00173;6;214195;3;3;4;United Kingdom;2;Sweden;3;Tableau, GCP, Python;2;19;9;13/3/2025;11/4/2025;1254;5.2;15
AI00174;5;93211;1;1;4;India;2;United Kingdom;2;Python, TensorFlow, GCP, Java;3;9;14;8/1/2025;3/2/2025;1474;9.3;13
AI00175;12;82209;1;3;4;Germany;1;Germany;3;Statistics, TensorFlow, Python;3;1;15;9/11/2024;23/12/2024;859;7;2
AI00176;5;149669;3;2;4;Germany;2;Germany;2;Scala, Hadoop, Azure;1;9;7;1/11/2024;23/11/2024;2291;6.2;16
AI00177;5;56825;3;2;3;China;2;China;2;Linux, Azure, Git, Deep Learning, Spark;1;3;9;11/7/2024;2/8/2024;2301;9.5;3
AI00178;19;131635;3;3;2;Denmark;1;Denmark;2;Kubernetes, Git, GCP, NLP;4;2;8;10/3/2024;16/4/2024;715;8.2;5
AI00179;17;163843;3;2;1;Norway;1;Norway;2;Scala, Python, Data Visualization, Kubernetes, Statistics;4;7;11;20/9/2024;23/10/2024;1723;8.5;7
AI00180;2;73281;3;2;1;India;1;India;1;Deep Learning, Azure, Python;2;2;11;28/1/2025;21/2/2025;1753;5.5;4
AI00181;18;51907;1;4;2;South Korea;2;South Korea;2;Statistics, AWS, Java, PyTorch;1;3;12;7/10/2024;6/12/2024;1290;8.3;1
AI00182;17;178240;3;3;3;Netherlands;3;Netherlands;2;Python, Spark, TensorFlow;2;12;11;1/6/2024;15/7/2024;2461;8.5;7
